Name,Number of Reviews,Stars Given,Relative Date,Review,Likes,Responce
Alexandra Mckoy,6,"Rated 5.0 out of 5,",8 months ago,"Sooo fun, great work out!!!! Definitely coming back!",0,
Carmen Mifsud,7,"Rated 5.0 out of 5,",8 months ago,Great!!,0,
A M,7,"Rated 5.0 out of 5,",8 months ago,,,
Julie Leslie,4,"Rated 5.0 out of 5,",9 months ago,,0,
Tristan Wright,3,"Rated 5.0 out of 5,",10 months ago,Great experience! Lots of games and fun with family!,0,
Ntcksosa,2,"Rated 5.0 out of 5,",10 months ago,Great experience and a lot of fun to do with friends!!,0,
Jonathan Tresp,2,"Rated 5.0 out of 5,",10 months ago,,0,
Ashir Ahmed,47,"Rated 4.0 out of 5,",10 months ago,Great service but a bit expensive.,0,
kali potts,2,"Rated 5.0 out of 5,",10 months ago,,0,
Anna Garmatyuk,10,"Rated 5.0 out of 5,",11 months ago,"We brought our son for new VR experience, he had a lot of fun and really enjoyed every moment there.",0,
Lee Jewers,1,"Rated 5.0 out of 5,",11 months ago,Had lots of fun with the kids,0,
Anqunette Holbert,2,"Rated 5.0 out of 5,",11 months ago,It was energetic and frisson really enjoyed it,0,
kehinde Adelekan,6,"Rated 5.0 out of 5,",11 months ago,,,
Pinball Johnson,1,"Rated 5.0 out of 5,",11 months ago,Had a great time.,0,
Weidong Liu,1,"Rated 5.0 out of 5,",11 months ago,We booked two hours session for two 10 years old boys. Heard lots of giggles. They loved the cooking game a lot. They even sweated a lot. Great experiences!,0,
Christina Tang,6,"Rated 5.0 out of 5,",a year ago,It was our first time and it was a fun experience.  We played four games and enjoyed the cooking game and escape room. The hour was not quite enough since it was our first time. We would like to experience it again.,0,
Christine Holden,5,"Rated 1.0 out of 5,",a year ago,,3,
Bridgette Antwi,7,"Rated 3.0 out of 5,",a year ago,,0,
Victor Van,4,"Rated 5.0 out of 5,",a year ago,Lots of fun!!,0,
陈力,5,"Rated 5.0 out of 5,",a year ago,My 9 years old son had lots of fun! Asking for more visits right after his session.,0,
KingKarti er,4,"Rated 5.0 out of 5,",a year ago,,0,
Christopher Ishmael,2,"Rated 4.0 out of 5,",a year ago,It was two of us for an hour and it was a great experience for our first time. Lots of fun.,0,
Eric Powell,3,"Rated 4.0 out of 5,",a year ago,Employee was very helpful and games were fun.,0,
Rie So,10,"Rated 5.0 out of 5,",a year ago,,,
tgosling3,2,"Rated 1.0 out of 5,",a year ago,The equipment is not set up well or is just too old to function properly. Very disappointing but explains the 'reasonable' pricing.  FIX YOUR GEAR!,4,
Adeel Sherazi,23,"Rated 5.0 out of 5,",a year ago,"Great experience. Great variety of games. We did laser tag, which was ok, but the other games were all excellent. Was a fun outing with my brother.",0,
Peter Yousef,,"Rated 5.0 out of 5,",a year ago,,,
Wael Agina,9,"Rated 5.0 out of 5,",a year ago,Highly recommended,0,
opsy,6,"Rated 5.0 out of 5,",a year ago,Funnn!! My family will be back again.we loved it,0,
Liam Gravelle,1,"Rated 5.0 out of 5,",a year ago,,,
Leonora O,24,"Rated 5.0 out of 5,",a year ago,Lots of fun!,0,
Incia Khalid,10,"Rated 5.0 out of 5,",a year ago,,0,
Anna Dowe,1,"Rated 5.0 out of 5,",a year ago,My boys had a blast,0,
kuljit narula,13,"Rated 2.0 out of 5,",a year ago,,,
Christina Paruag,16,"Rated 5.0 out of 5,",a year ago,"Great experience! So fun and well organized! We booked a slot same day and the staff was very helpful throughout. We had a lot of laughs, it was a great way to end the weekend. Would highly recommend going!",0,
Jordan Youngs,6,"Rated 5.0 out of 5,",a year ago,,,
tailshub,3,"Rated 5.0 out of 5,",a year ago,Great time great variety but a workout as well,0,
Rajeev Ahuja,3,"Rated 5.0 out of 5,",a year ago,Great time and amazing experience,0,
Mat Fekete,19,"Rated 5.0 out of 5,",a year ago,Great experience!,0,
Q- Enoo,1,"Rated 5.0 out of 5,",a year ago,Had a great time with my son for first VR experience. Experienced 4 different games. Host was very accommodating. Great for younger kids as equipment is not heavy!,0,
J I,5,"Rated 5.0 out of 5,",a year ago,,,
Anthony Lucas,41,"Rated 5.0 out of 5,",a year ago,,,
Joanne Peñaverde,2,"Rated 3.0 out of 5,",a year ago,"My kids had fun. But I don't think they played for an hour. They all finished at the same time but they did not start at the same time. The one hour started when the guy is still setting up the vrs which i don't think is not fair. Time should start when they all started playing.  Apart from the time, my kids said they enjoyed it",0,
apurva khandeparker,4,"Rated 5.0 out of 5,",a year ago,Awesome experience!! Full body workout more like it!!,0,
Kunal Lahoti,7,"Rated 5.0 out of 5,",a year ago,,,
Kyle Foster,2,"Rated 5.0 out of 5,",a year ago,"I had an amazing experience, wonderful staff and very satisfied with the quality of the products. Definitely going to come back.",0,
LIL REX Of WallStreet,10,"Rated 5.0 out of 5,",a year ago,,0,
Man Man,,"Rated 5.0 out of 5,",a year ago,,,
ahmad nusair,,"Rated 5.0 out of 5,",a year ago,,,
Carl Yan,1,"Rated 5.0 out of 5,",a year ago,nicely fun and sparks inspiration !,0,
Travis Busnello,1,"Rated 5.0 out of 5,",a year ago,,,
Sebastian L de Romana,5,"Rated 5.0 out of 5,",a year ago,Great fun with my daughter!,0,
Giacomo Ruggiero,1,"Rated 5.0 out of 5,",a year ago,,0,
Rosalie Coelho,3,"Rated 4.0 out of 5,",a year ago,Very fun for the whole family! Great experience.,0,
NoobRemover,3,"Rated 4.0 out of 5,",a year ago,,,
Ryan H,10,"Rated 5.0 out of 5,",a year ago,Awesome time! The oculus multiplayer is amazing,0,
reema meema,6,"Rated 5.0 out of 5,",a year ago,,,
Hiba Mannan,4,"Rated 4.0 out of 5,",a year ago,Fun Games and easy to learn.  Chris was very helpful!,0,
Vicki Hou,,"Rated 5.0 out of 5,",a year ago,,,
Mike Carder,6,"Rated 5.0 out of 5,",a year ago,,,
Rick Bevington,10,"Rated 5.0 out of 5,",a year ago,It was fun!,0,
Dustin Sardinha,7,"Rated 5.0 out of 5,",a year ago,Son loved this vr location,0,
HUSANPREET SINGH,3,"Rated 5.0 out of 5,",a year ago,Great experience. Must come place with friends. Enjoyed a lot,0,
Camden M,1,"Rated 4.0 out of 5,",a year ago,"Very good VR experience, lots of options and games to choose from.",0,
Sameer S,44,"Rated 5.0 out of 5,",a year ago,,,
Jeffrey Hunter,1,"Rated 4.0 out of 5,",a year ago,,,
Ahmad Hijazi,5,"Rated 5.0 out of 5,",a year ago,,,
Dhruv Singla,12,"Rated 1.0 out of 5,",a year ago,Very very bad experience,1,
Deon Dhanjoon,11,"Rated 5.0 out of 5,",a year ago,Had an amazing experience the dedicated staff made everything smooth and entertaining for me and my friends,1,
Karan Khurana,32,"Rated 1.0 out of 5,",a year ago,Definitely a first and last.,2,
Mohamed Nur,2,"Rated 5.0 out of 5,",a year ago,,1,
sophia pinto,39,"Rated 5.0 out of 5,",2 years ago,Love going to try VR games here,1,
Minati mahamuni,1,"Rated 5.0 out of 5,",2 years ago,Awesome experience. Tried the virtual laser tag was very cool . Will definitely try,1,
Laila Birjandi,11,"Rated 5.0 out of 5,",2 years ago,,,
niyamat nadir,4,"Rated 5.0 out of 5,",2 years ago,Love it!! Beautiful experience,2,
Sanchit Minocha,3,"Rated 5.0 out of 5,",2 years ago,,,
Kas Kasid,1,"Rated 5.0 out of 5,",2 years ago,"Great time at this location, the staff was very hospitable and the quest2 headsets were a joy especially",0,
Zhihang Zhang,1,"Rated 5.0 out of 5,",2 years ago,"I love the service here, the staff is very friendly and the gaming experience is great over all. Would come back again",2,
Daniel Alnemri,3,"Rated 5.0 out of 5,",2 years ago,Super cool experience and very welcoming and nice environment!,1,
King Of Kings,5,"Rated 5.0 out of 5,",2 years ago,,,
S C,,"Rated 1.0 out of 5,",2 years ago,,,
Linda,11,"Rated 5.0 out of 5,",2 years ago,,,
Kenny,370,"Rated 5.0 out of 5,",2 years ago,The free-roaming VR is very fun (and in my opinion better than the other types of VR). 40 minutes of free-roam is a good amount of time to really get into the experience. I suggest avoiding the Oculus Go due to older technology and games. Use the Oculus Quest 2 or the HTC Vive. Our host Chris was accomodating.,2,
Victor Wang,7,"Rated 4.0 out of 5,",2 years ago,,,
Andrew Zhang,23,"Rated 1.0 out of 5,",2 years ago,"VR should be a fun, easy, and enjoyable experience, and this was anything but that.",5,"Sorry about what happened. However, we have many fun multiplayer games installed and the devices were not broken. They just needed to be properly used and charged. We recently hired a new staff who needs more and better training. The good news is we will soon launch our FREE ROAM games at very reasonable prices. Please subscribe to our newsletters to be the first to know when it comes out. You are welcome to come to use your free hour. I ensure you will be extremely happy this time."
Lush Parris,23,"Rated 2.0 out of 5,",2 years ago,This was my second time doing VR and I was a bit disappointed. We bought a package for 2 assuming we could play together but it was a hassle finding games that support linked multi-player.  My device frequently froze. I barely got to play the 2 hours we were there.  I would recommend this place if you're going alone or don't care to play together.,2,
Juan Cotrina,36,"Rated 2.0 out of 5,",3 years ago,,,
trev pulcins,9,"Rated 4.0 out of 5,",3 years ago,Very helpful and attentive staff.,0,
RGL Ghost,17,"Rated 1.0 out of 5,",3 years ago,,5,
Vi Miller,26,"Rated 5.0 out of 5,",3 years ago,,0,
Shan Qian,3,"Rated 5.0 out of 5,",5 years ago,The compny is a very good !,0,
Golden Vision Training Inc (Toronto Digital Marketing),71,"Rated 5.0 out of 5,",5 years ago,A great company to work with... very fun!,0,
John zhao,6,"Rated 5.0 out of 5,",5 years ago,"Excellent experience, great service with affordable price!! Highly recommend !! Best VR experience ever!",0,
Jason Yu,6,"Rated 5.0 out of 5,",5 years ago,First time to experience VR gaming at this location. Very enjoyed and had lots of fun! Their private room and super audio system provided luxury experience with reasonable price! Will definitely come again with my friends.,0,
Vera Zhang,4,"Rated 5.0 out of 5,",5 years ago,Great experience! Definitely worth a try!,0,
Ying Wang,1,"Rated 5.0 out of 5,",5 years ago,,,
Aleksandra,3,"Rated 4.0 out of 5,",6 years ago,"We visited the VR Noble today. We are an older couple so this was a great experience for us. We mainly used Google Earth App. Well worth it and the price is great comparing to downtown locations. We were there a few minutes before our appoitment. As instructed, we called the number to have someone come down to let us in. There was a moment of consternation - no listing on the directory, voice mail box was full, no one was picking up the phone. Rest assured, someone did come down, showed us in, explained how VR works. If you are new to VR it takes some time to figure it out how everything works. You should book two hours then. I will come back again. Place is very clean but be prepared for heat - the equipment is generating it. There is a very clean bathroom in the hallway.",0,
